Filename,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Parties-Answer,Agreement Date-Answer,Effective Date-Answer,Expiration Date-Answer,Renewal Term-Answer,Notice Period To Terminate Renewal- Answer
"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT.PDF","['KIROMIC BIOPHARMA Inc.', 'MOLIPHARMA S.R.L.', 'each a Party and, together, the Parties.']",['2 April 2020'],"['This JV Agreement shall become effective on the signing date and shall have a duration of * years, extendable for a further * years, unless notice of non- renewal is sent one year before the natural expiry date.<omitted>2 April 2020']","['This JV Agreement shall become effective on the signing date and shall have a duration of * years, extendable for a further * years, unless notice of non- renewal is sent one year before the natural expiry date.']","['This JV Agreement shall become effective on the signing date and shall have a duration of * years, extendable for a further * years, unless notice of non- renewal is sent one year before the natural expiry date.']","['This JV Agreement shall become effective on the signing date and shall have a duration of * years, extendable for a further * years, unless notice of non- renewal is sent one year before the natural expiry date.']","KIROMIC BIOPHARMA Inc.; MOLIPHARMA S.R.L. (""Party"" and, together, the ""Parties"")",4/2/20,4/2/20,perpetual,successive [] years,1 year
IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT.PDF,"[""'MIL', which terms shall unless repugnant to the subject or context mean and include its successors and permitted assigns"", 'Mr. Nirmal K. MINDA', 'MINDA INDUSTRIES LIMITED', ""'IMPCO', which terms shall unless repugnant to the subject or context mean and include its successors and permitted assigns"", 'IMPCO Technologies Inc.', ""'MINDA', which terms shall unless repugnant to the subject or context mean and include his heirs, executors, administrators or successors and permitted assigns""]","['18th day of May, 2001']",['This Agreement shall become effective on the date of execution and shall continue in force and effect for an indefinite term thereafter unless terminated pursuant to the provisions of Article 16 or by all the Parties in writing.'],['This Agreement shall become effective on the date of execution and shall continue in force and effect for an indefinite term thereafter unless terminated pursuant to the provisions of Article 16 or by all the Parties in writing.'],[],[],"IMPCO Technologies Inc. including its successors and permitted assigns (""IMPCO""); MINDA INDUSTRIES LIMITED including its successors and permitted assigns (""MIL""), Nirmal K. MINDA including his heirs, executors, administrators or successors and permitted assigns (""MINDA"")",5/18/01,5/18/01,perpetual,,
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.PDF,"['Physician Sales & Service, Inc.', 'PSS', 'Gulf South Medical Supply, Inc.', 'PSS Merger Corp.', 'GSMS']","['AGREED TO AND ACCEPTED as of December 14, 1997', 'This Affiliate Agreement is executed as of the 14th day of December, 1997.']",[],[],[],[],"Gulf South Medical Supply, Inc. (""GSMS""); Physician Sales & Service, Inc. (""PSS""); PSS Merger Corp.",12/14/97,,,,
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,"['Federal  Deposit Insurance  Corporation', 'Amsterdam  Federal Savings and Loan  Association', 'FDIC', 'SAIF', 'Capital Resources', 'Association', 'Capital Resources, Inc.', 'AFSALA  Bancorp,  Inc.', 'Company', 'Savings Association   Insurance  Fund']","['____________, 1996']",[],[],[],[],"(AFSALA  Bancorp,  Inc. (the  ""Company""); Amsterdam Federal Savings and Loan Association (""Association""); Savings Association Insurance Fund (""SAIF""); Federal  Deposit Insurance Corporation (""FDIC""); Capital Resources, Inc. (""Capital Resources""))",[]/[]/1996,,,,
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.PDF,"['Alamogordo   Financial   Corporation', 'AF Mutual Holding Company', 'Bank', 'Agent', 'Savings  Association Insurance  Fund', 'FDIC', 'SAIF', 'Federal   Deposit   Insurance Corporation', 'Alamogordo Federal Savings and Loan Association', 'MHC', 'Company', 'Charles Webb & Company', 'Bruyette & Woods, Inc.']","['___________ __, 2000']","['___________ __, 2000']",[],[],[],"(Alamogordo Financial Corporation (""Company""); AF Mutual Holding Company (""MHC""); Alamogordo Federal Savings and Loan Association (""Bank""); Savings  Association Insurance Fund (""SAIF""); Federal Deposit Insurance Corporation (""FDIC""); Charles Webb & Company; Bruyette & Woods,  Inc. (""Agent""))",[]/[]/2000,[]/[]/2000,,,
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.PDF,"['Lessor', 'together with its successors and assigns, if any, ""Lessor""', 'General Electric Capital Corporation', 'Company', 'Duckwall-Alco Stores, Inc.']","['November 9, 2005']",[],[],[],[],"General Electric Capital Corporation together with its successors and assigns, if any (“Lessor”); Duckwall-Alco Stores, Inc. (the “Company”)",11/9/05,,perpetual,,
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.PDF,"['Bank', 'Agent', 'Alliance Mutual Holding Company', 'Alliance Bancorp, Inc. of Pennsylvania', ""Sandler O'Neill & Partners, L.P."", 'Greater Delaware Valley Holdings', 'Greater Delaware Valley Savings Bank d/b/a Alliance Bank', ""Sandler O'Neill"", 'PA MHC', 'Company', 'Federal MHC']","['November ___, 2006']",[],[],[],[],"(Greater Delaware Valley Holdings (“PA MHC”); Alliance Mutual Holding Company (“Federal MHC”); Alliance Bancorp, Inc. of Pennsylvania (“Company""); Greater Delaware Valley Savings Bank d/b/a Alliance Bank (“Bank”); Sandler O’Neill & Partners, L.P. (“Sandler O’Neill” or “Agent”))",11/[]/2006,,,,
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.PDF,"['Stratton, Cheeseman & Walsh-Nevada, Inc.', 'Mutual Insurance Corporation of America', 'Agency', 'MICOA', 'sometimes commonly referred to as the Parties']","['25th day of May, 1999.']","['Signed and effective this 25th day of May, 1999.']","[""This agreement shall terminate:\n\n                  a.       Automatically if any public authority cancels or                            declines to renew the Agency's license or Certificate                            of Authority.\n\n                  b.       Immediately if either party gives detailed written                            notice to the other of alleged gross and willful                            misconduct, fraud or material misrepresentation.""]","['This Agreement shall terminate, subject to any automatic                   renewal or extension for one year as required by law, upon                   either party giving at least one hundred twenty (120) days                   advance written notice to the other, if not otherwise contrary                   to applicable law or this Agreement.']","['This Agreement shall terminate, subject to any automatic                   renewal or extension for one year as required by law, upon                   either party giving at least one hundred twenty (120) days                   advance written notice to the other, if not otherwise contrary                   to applicable law or this Agreement.']","Mutual Insurance Corporation of America (MICOA); Stratton, Cheeseman & Walsh-Nevada, Inc. (""Agency""); (sometimes commonly referred to as the Parties)",5/25/99,5/25/99,Perpetual,1 year,120 days
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.PDF,"['El Banco Financial Corporation', 'Agent', 'sales agent', '""Agent"" or ""you""', 'Company']","[', 2006']","[', 2006']",['This Agreement shall become effective on the date hereof and shall terminate upon the termination of the Offering.'],[],[],"El Banco Financial Corporation (the ""Company""); sales agent (the ""Agent"" or ""you"")",[]/[]/2006,[]/[]/2006,,,
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.PDF,"['Agent', 'Biopure Corporation', 'Company']","['March 29, 1999']","['March 29, 1999', 'This Agreement will become effective as of the date first written above and will continue in effect thereafter until terminated pursuant to Paragraph 4.2 below']",['This Agreement will become effective as of the date first written above and will continue in effect thereafter until terminated pursuant to Paragraph 4.2 below.'],[],[],"Biopure Corporation (""Company""); Agent (""Agent"")",3/29/99,3/29/99,perpetual,,
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF","['Bank', 'Agent', 'Hyde Park Bancorp, MHC', 'Holding Company', 'MHC', 'Hyde Park Bancorp, Inc.', 'Blue Hills Bancorp, Inc.', 'Blue Hills Bank', 'Bruyette & Woods, Inc.', 'Mid\xadTier']","['May 14, 2014']","['May 14, 2014']",[],[],[],"Blue Hills Bancorp, Inc. (“Holding Company”); Hyde Park Bancorp, MHC (“MHC”); Hyde Park Bancorp, Inc. (“Mid­Tier”); Blue Hills Bank (“Bank”); Bruyette & Woods, Inc. (“Agent”)",5/14/14,5/14/14,,,
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.PDF","['Compass Point Research & Trading, LLC', 'Company', 'Agent', 'Transaction Entities', 'BRG Manager, LLC', 'Bluerock Residential Growth REIT, Inc.', 'Bluerock Residential Holdings, L.P.', 'Manager', 'Operating Partnership']","['May 25, 2016']","['May 25, 2016']",[],[],[],"Bluerock Residential Growth REIT, Inc. (“Company”); Bluerock Residential Holdings, L.P. (“Operating Partnership”) (collectively, Company, and Bluerock Residential Growth REIT, Inc. are referred to as the “Transaction Entities”); BRG Manager, LLC (“Manager”); Compass Point Research & Trading, LLC (“Agent”)",5/25/16,5/25/16,,,
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.PDF,"['AURA  SYSTEMS INC.', '(collectively the ""Parties"")', 'ZANOTTI EAST INC.', 'Aura', 'Zanotti']","['March 18, 2010']","['March 18, 2010']","['This Agreement shall be for a period of five (5) years commencing upon the Effective Date hereof unless sooner terminated in  accordance with this Agreement (the ""Initial Term"").']","[""Unless terminated prior to the natural expiration of the Initial Term, upon the expiry of the  Initial Term this Agreement shall automatically renew for successive terms of the same duration, unless either party gives written notice to the  other of such party's desire not to renew not less than ninety (90) days prior to the date of the expiration of the Initial Term or any\n\n\n\n\n\n\n\n\n\n  successive term thereafter.""]","[""Unless terminated prior to the natural expiration of the Initial Term, upon the expiry of the  Initial Term this Agreement shall automatically renew for successive terms of the same duration, unless either party gives written notice to the  other of such party's desire not to renew not less than ninety (90) days prior to the date of the expiration of the Initial Term or any\n\n\n\n\n\n\n\n\n\n  successive term thereafter.""]","AURA SYSTEMS INC. (""Aura""); ZANOTTI EAST INC. (""Zanotti"") (collectively the “Parties”)",3/18/10,3/18/10,3/18/15,successive 5 years,90 days
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.PDF,"['Cherry Hill', 'Freedom Mortgage', 'Freedom Mortgage Corporation', 'Cherry Hill Mortgage Investment Corp.']","[', 2013']",[],"['Unless earlier terminated as provided below, this Agreement shall remain in effect until the later to occur of the date that is (x) three (3) years from the date hereof and (y) the date on which an affiliate of Freedom Mortgage is not acting as the external manager of Cherry Hill.']",[],[],"Freedom Mortgage Corporation (""Freedom Mortgage""); Cherry Hill Mortgage Investment Corp. (""Cherry Hill"")",[]/[]/2013,,[]/[]/2016,,
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,"['MD Anderson and Adaptimmune each a ""Party"" and collectively the ""Parties""', 'The University of Texas M. D. Anderson Cancer Center', 'Adaptimmune', 'MD Anderson', 'Adaptimmune LLC', 'Adaptimmune Limited']","['23rd day of  September, 2016']","['23rd day of  September, 2016']","['The term of this Agreement shall be five (5) years following the Effective Date or until the Studies are completed, whichever is later,  unless extended or unless terminated earlier in accordance with the provisions hereof.', 'Term: This Study Order will continue until the Study is completed, which is expected to be ________ (__) months after the Effective Date, or until terminated early as provided in the Agreement.']",[],[],"The University of Texas M. D. Anderson Cancer Center (""MD Anderson""); Adaptimmune LLC (""Adaptimmune""); Adaptimmune Limited (""Adaptimmune Limited""); (MD Anderson and Adaptimmune each a “Party” and collectively the “Parties”)",9/23/16,9/23/16,9/23/21,,
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.PDF","['VET TECH', 'VETERAN TECHNOLOGY GROUP, LLC', 'Cool Technologies Inc..', 'COOL TECH']","['26t h day of May, 2017']","['26t h day of May, 2017']","[""This Agreement shall be effective as of the date first set forth above and, shall expire on the later of (i) five (5) years from the date hereof, or (ii) with respect to any projects identified in any contract for which VET TECH is billing the client directly, upon the completion of COOL TECH's Services and receipt of payment by COOL TECH from VET TECH for said services.""]",['This Agreement shall be automatically renewed for successive one year periods unless either party gives written notice of termination to the other party at least thirty (30) days prior to the date of expiration.'],['This Agreement shall be automatically renewed for successive one year periods unless either party gives written notice of termination to the other party at least thirty (30) days prior to the date of expiration.'],"Cool Technologies Inc. (""COOL TECH""); VETERAN TECHNOLOGY GROUP, LLC (""VET TECH"")",5/26/17,5/26/17,5/26/22,successive 1 year,30 days
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF","['System Associates, Inc.', 'Rubicon', 'Rubicon Software Group plc', 'ISA']","['15 April, 2009']","['15 April, 2009']","['Unless terminated sooner, the term of this Agreement shall begin on the Effective Date and continue for three (3) years  thereafter (the ""Initial Term"") and shall automatically renew for additional one (1) year terms on the terms and conditions set forth herein (each a  ""Renewal Term"" and collectively, the ""Term"") unless either party gives the other Party Notice of its intention to terminate this Agreement ninety  (90) days before the end of the Initial Term or Renewal Term, if any.']","['Unless terminated sooner, the term of this Agreement shall begin on the Effective Date and continue for three (3) years  thereafter (the ""Initial Term"") and shall automatically renew for additional one (1) year terms on the terms and conditions set forth herein (each a  ""Renewal Term"" and collectively, the ""Term"") unless either party gives the other Party Notice of its intention to terminate this Agreement ninety  (90) days before the end of the Initial Term or Renewal Term, if any.']","['Unless terminated sooner, the term of this Agreement shall begin on the Effective Date and continue for three (3) years  thereafter (the ""Initial Term"") and shall automatically renew for additional one (1) year terms on the terms and conditions set forth herein (each a  ""Renewal Term"" and collectively, the ""Term"") unless either party gives the other Party Notice of its intention to terminate this Agreement ninety  (90) days before the end of the Initial Term or Renewal Term, if any.']","System Associates, Inc. (""ISA""); Rubicon Software Group plc (""Rubicon"")",4/15/09,4/15/09,4/15/12,successive 1 year,90 days
